,Country,Granularity,Year,Population
120,Albania,Total,2005,3086.81
121,Albania,Male,2005,1551.975
122,Albania,Female,2005,1534.835
123,Albania,Rural,2005,1640.246
124,Albania,Urban,2005,1438.933
125,Albania,Total,2006,3063.021
126,Albania,Male,2006,1538.721
127,Albania,Female,2006,1524.3
128,Albania,Rural,2006,1593.892
129,Albania,Urban,2006,1460.439
130,Albania,Total,2007,3033.998
131,Albania,Male,2007,1523.893
132,Albania,Female,2007,1510.1
133,Albania,Rural,2007,1545.166
134,Albania,Urban,2007,1478.741
135,Albania,Total,2008,3002.678
136,Albania,Male,2008,1508.919
137,Albania,Female,2008,1493.764
138,Albania,Rural,2008,1496.108
139,Albania,Urban,2008,1495.543
140,Albania,Total,2009,2973.048
141,Albania,Male,2009,1495.558
142,Albania,Female,2009,1477.486
143,Albania,Rural,2009,1449.427
144,Albania,Urban,2009,1513.208
145,Albania,Total,2010,2948.023
146,Albania,Male,2010,1485.068
147,Albania,Female,2010,1462.961
148,Albania,Rural,2010,1406.665
149,Albania,Urban,2010,1533.86
150,Albania,Total,2011,2928.592
151,Albania,Male,2011,1478.059
152,Albania,Female,2011,1450.542
153,Albania,Rural,2011,1368.297
154,Albania,Urban,2011,1558.362
155,Albania,Total,2012,2914.096
156,Albania,Male,2012,1474.211
157,Albania,Female,2012,1439.88
158,Albania,Rural,2012,1333.585
159,Albania,Urban,2012,1586.454
160,Albania,Total,2013,2903.79
161,Albania,Male,2013,1472.67
162,Albania,Female,2013,1431.118
163,Albania,Rural,2013,1302.236
164,Albania,Urban,2013,1616.742
165,Albania,Total,2014,2896.305
166,Albania,Male,2014,1472.095
167,Albania,Female,2014,1424.212
168,Albania,Rural,2014,1272.79
169,Albania,Urban,2014,1647.985
170,Albania,Total,2015,2890.513
171,Albania,Male,2015,1471.456
172,Albania,Female,2015,1419.068
173,Albania,Rural,2015,1244.341
174,Albania,Urban,2015,1679.011
175,Albania,Total,2016,2886.438
176,Albania,Male,2016,1470.548
177,Albania,Female,2016,1415.879
178,Albania,Rural,2016,1216.737
179,Albania,Urban,2016,1709.611
180,Albania,Total,2017,2884.169
181,Albania,Male,2017,1469.588
182,Albania,Female,2017,1414.581
183,Albania,Rural,2017,1190.155
184,Albania,Urban,2017,1740.032
185,Albania,Total,2018,2882.74
186,Albania,Male,2018,1468.376
187,Albania,Female,2018,1414.359
188,Albania,Rural,2018,1164.388
189,Albania,Urban,2018,1769.975
190,Algeria,Total,2000,31042.235
191,Algeria,Male,2000,15731.099
192,Algeria,Female,2000,15311.139
193,Algeria,Rural,2000,12498.847
194,Algeria,Urban,2000,18684.813
195,Algeria,Total,2001,31451.514
196,Algeria,Male,2001,15935.089
197,Algeria,Female,2001,15516.424
198,Algeria,Rural,2001,12411.94
199,Algeria,Urban,2001,19180.213
200,Algeria,Total,2002,31855.109
201,Algeria,Male,2002,16134.005
202,Algeria,Female,2002,15721.105
203,Algeria,Rural,2002,12317.847
204,Algeria,Urban,2002,19677.199
205,Algeria,Total,2003,32264.157
206,Algeria,Male,2003,16333.986
207,Algeria,Female,2003,15930.173
208,Algeria,Rural,2003,12221.443
209,Algeria,Urban,2003,20182.071
210,Algeria,Total,2004,32692.163
211,Algeria,Male,2004,16542.653
212,Algeria,Female,2004,16149.5
213,Algeria,Rural,2004,12127.441
214,Algeria,Urban,2004,20703.655
215,Algeria,Total,2005,33149.724
216,Algeria,Male,2005,16766.027
217,Algeria,Female,2005,16383.693
218,Algeria,Rural,2005,12040.491
219,Algeria,Urban,2005,21247.946
220,Algeria,Total,2006,33641.002
221,Algeria,Male,2006,17006.259
222,Algeria,Female,2006,16634.748
223,Algeria,Rural,2006,11959.903
224,Algeria,Urban,2006,21818.012
225,Algeria,Total,2007,34166.972
226,Algeria,Male,2007,17263.894
227,Algeria,Female,2007,16903.082
228,Algeria,Rural,2007,11885.693
229,Algeria,Urban,2007,22414.383
230,Algeria,Total,2008,34730.608
231,Algeria,Male,2008,17541.178
232,Algeria,Female,2008,17189.426
233,Algeria,Rural,2008,11818.949
234,Algeria,Urban,2008,23041.766
235,Algeria,Total,2009,35333.881
236,Algeria,Male,2009,17840.024
237,Algeria,Female,2009,17493.858
238,Algeria,Rural,2009,11765.339
239,Algeria,Urban,2009,23700.421
240,Algeria,Total,2010,35977.455
241,Algeria,Male,2010,18161.36
242,Algeria,Female,2010,17816.091
243,Algeria,Rural,2010,11723.941
244,Algeria,Urban,2010,24393.696
245,Algeria,Total,2011,36661.445
246,Algeria,Male,2011,18505.611
247,Algeria,Female,2011,18155.827
248,Algeria,Rural,2011,11695.477
249,Algeria,Urban,2011,25124.081
250,Algeria,Total,2012,37383.895
251,Algeria,Male,2012,18871.563
252,Algeria,Female,2012,18512.336
253,Algeria,Rural,2012,11677.502
254,Algeria,Urban,2012,25888.345
255,Algeria,Total,2013,38140.133
256,Algeria,Male,2013,19256.116
257,Algeria,Female,2013,18884.019
258,Algeria,Rural,2013,11664.03
259,Algeria,Urban,2013,26674.532
260,Algeria,Total,2014,38923.692
261,Algeria,Male,2014,19654.929
262,Algeria,Female,2014,19268.759
263,Algeria,Rural,2014,11647.651
264,Algeria,Urban,2014,27465.662
265,Algeria,Total,2015,39728.025
266,Algeria,Male,2015,20063.891
267,Algeria,Female,2015,19664.129
268,Algeria,Rural,2015,11623.281
269,Algeria,Urban,2015,28248.247
270,Algeria,Total,2016,40551.392
271,Algeria,Male,2016,20481.901
272,Algeria,Female,2016,20069.497
273,Algeria,Rural,2016,11589.537
274,Algeria,Urban,2016,29016.515
275,Algeria,Total,2017,41389.189
276,Algeria,Male,2017,20906.756
277,Algeria,Female,2017,20482.418
278,Algeria,Rural,2017,11547.532
279,Algeria,Urban,2017,29770.61
280,Algeria,Total,2018,42228.408
281,Algeria,Male,2018,21331.993
282,Algeria,Female,2018,20896.422
283,Algeria,Rural,2018,11498.038
284,Algeria,Urban,2018,30510.016
285,American Samoa,Total,2000,57.821
286,American Samoa,Rural,2000,6.565
287,American Samoa,Urban,2000,50.956
288,American Samoa,Total,2001,58.494
289,American Samoa,Rural,2001,6.695
290,American Samoa,Urban,2001,51.48
291,American Samoa,Total,2002,59.08
292,American Samoa,Rural,2002,6.816
293,American Samoa,Urban,2002,51.915
294,American Samoa,Total,2003,59.504
295,American Samoa,Rural,2003,6.919
296,American Samoa,Urban,2003,52.198
297,American Samoa,Total,2004,59.681
298,American Samoa,Rural,2004,6.994
299,American Samoa,Urban,2004,52.27
300,American Samoa,Total,2005,59.562
301,American Samoa,Rural,2005,7.035
302,American Samoa,Urban,2005,52.083
303,American Samoa,Total,2006,59.107
304,American Samoa,Rural,2006,7.038
305,American Samoa,Urban,2006,51.612
306,American Samoa,Total,2007,58.365
307,American Samoa,Rural,2007,7.006
308,American Samoa,Urban,2007,50.897
309,American Samoa,Total,2008,57.492
310,American Samoa,Rural,2008,6.958
311,American Samoa,Urban,2008,50.072
312,American Samoa,Total,2009,56.683
313,American Samoa,Rural,2009,6.918
314,American Samoa,Urban,2009,49.309
315,American Samoa,Total,2010,56.079
316,American Samoa,Rural,2010,6.902
317,American Samoa,Urban,2010,48.735
318,American Samoa,Total,2011,55.759
319,American Samoa,Rural,2011,6.914
320,American Samoa,Urban,2011,48.406
321,American Samoa,Total,2012,55.667
322,American Samoa,Rural,2012,6.948
323,American Samoa,Urban,2012,48.282
324,American Samoa,Total,2013,55.713
325,American Samoa,Rural,2013,6.997
326,American Samoa,Urban,2013,48.31
327,American Samoa,Total,2014,55.791
328,American Samoa,Rural,2014,7.047
329,American Samoa,Urban,2014,48.39
330,American Samoa,Total,2015,55.812
331,American Samoa,Rural,2015,7.088
332,American Samoa,Urban,2015,48.449
333,American Samoa,Total,2016,55.741
334,American Samoa,Rural,2016,7.118
335,American Samoa,Urban,2016,48.481
336,American Samoa,Total,2017,55.62
337,American Samoa,Rural,2017,7.139
338,American Samoa,Urban,2017,48.502
339,American Samoa,Total,2018,55.465
340,American Samoa,Rural,2018,7.153
341,American Samoa,Urban,2018,48.526
342,Andorra,Total,2000,65.39
343,Andorra,Rural,2000,4.973
344,Andorra,Urban,2000,60.417
345,Andorra,Total,2001,67.341
346,Andorra,Rural,2001,5.349
347,Andorra,Urban,2001,61.992
348,Andorra,Total,2002,70.049
349,Andorra,Rural,2002,5.855
350,Andorra,Urban,2002,64.194
351,Andorra,Total,2003,73.182
352,Andorra,Rural,2003,6.435
353,Andorra,Urban,2003,66.747
354,Andorra,Total,2004,76.244
355,Andorra,Rural,2004,7.052
356,Andorra,Urban,2004,69.192
357,Andorra,Total,2005,78.867
358,Andorra,Rural,2005,7.662
359,Andorra,Urban,2005,71.205
360,Andorra,Total,2006,80.993
361,Andorra,Rural,2006,8.256
362,Andorra,Urban,2006,72.735
363,Andorra,Total,2007,82.684
364,Andorra,Rural,2007,8.84
365,Andorra,Urban,2007,73.843
366,Andorra,Total,2008,83.862
367,Andorra,Rural,2008,9.221
368,Andorra,Urban,2008,74.64
369,Andorra,Total,2009,84.463
370,Andorra,Rural,2009,9.365
371,Andorra,Urban,2009,75.097
372,Andorra,Total,2010,84.449
373,Andorra,Rural,2010,9.442
374,Andorra,Urban,2010,75.007
375,Andorra,Total,2011,83.747
376,Andorra,Rural,2011,9.442
377,Andorra,Urban,2011,74.309
378,Andorra,Total,2012,82.427
379,Andorra,Rural,2012,9.371
380,Andorra,Urban,2012,73.06
381,Andorra,Total,2013,80.774
382,Andorra,Rural,2013,9.261
383,Andorra,Urban,2013,71.527
384,Andorra,Total,2014,79.213
385,Andorra,Rural,2014,9.157
386,Andorra,Urban,2014,70.066
387,Andorra,Total,2015,78.011
388,Andorra,Rural,2015,9.093
389,Andorra,Urban,2015,68.921
390,Andorra,Total,2016,77.297
391,Andorra,Rural,2016,9.082
392,Andorra,Urban,2016,68.199
393,Andorra,Total,2017,77.001
394,Andorra,Rural,2017,9.12
395,Andorra,Urban,2017,67.845
396,Andorra,Total,2018,77.006
397,Andorra,Rural,2018,9.187
398,Andorra,Urban,2018,67.766
399,Angola,Total,2000,16395.473
400,Angola,Male,2000,8155.019
401,Angola,Female,2000,8240.458
402,Angola,Rural,2000,8206.1
403,Angola,Urban,2000,8234.824
404,Angola,Total,2001,16945.753
405,Angola,Male,2001,8423.958
406,Angola,Female,2001,8521.795
407,Angola,Rural,2001,8275.248
408,Angola,Urban,2001,8708.018
409,Angola,Total,2002,17519.417
410,Angola,Male,2002,8704.663
411,Angola,Female,2002,8814.755
412,Angola,Rural,2002,8353.851
413,Angola,Urban,2002,9218.798
414,Angola,Total,2003,18121.479
415,Angola,Male,2003,8999.242
416,Angola,Female,2003,9122.235
417,Angola,Rural,2003,8438.128
418,Angola,Urban,2003,9765.241
419,Angola,Total,2004,18758.145
420,Angola,Male,2004,9310.252
421,Angola,Female,2004,9447.886
422,Angola,Rural,2004,8522.221
423,Angola,Urban,2004,10343.495
424,Angola,Total,2005,19433.602
425,Angola,Male,2005,9639.47
426,Angola,Female,2005,9794.134
427,Angola,Rural,2005,8603.118
428,Angola,Urban,2005,10949.424
429,Angola,Total,2006,20149.901
430,Angola,Male,2006,9987.68
431,Angola,Female,2006,10162.225
432,Angola,Rural,2006,8760.7
433,Angola,Urban,2006,11501.699
434,Angola,Total,2007,20905.363
435,Angola,Male,2007,10354.34
436,Angola,Female,2007,10551.02
437,Angola,Rural,2007,8918.911
438,Angola,Urban,2007,12078.776
439,Angola,Total,2008,21695.634
440,Angola,Male,2008,10738.13
441,Angola,Female,2008,10957.506
442,Angola,Rural,2008,9077.515
443,Angola,Urban,2008,12681.905
444,Angola,Total,2009,22514.281
445,Angola,Male,2009,11137.01
446,Angola,Female,2009,11377.265
447,Angola,Rural,2009,9237.545
448,Angola,Urban,2009,13312.002
449,Angola,Total,2010,23356.246
450,Angola,Male,2010,11549.277
451,Angola,Female,2010,11806.97
452,Angola,Rural,2010,9398.277
453,Angola,Urban,2010,13970.854
454,Angola,Total,2011,24220.661
455,Angola,Male,2011,11974.824
456,Angola,Female,2011,12245.836
457,Angola,Rural,2011,9559.614
458,Angola,Urban,2011,14658.951
459,Angola,Total,2012,25107.931
460,Angola,Male,2012,12413.552
461,Angola,Female,2012,12694.373
462,Angola,Rural,2012,9720.169
463,Angola,Urban,2012,15375.981
464,Angola,Total,2013,26015.781
465,Angola,Male,2013,12863.801
466,Angola,Female,2013,13151.985
467,Angola,Rural,2013,9878.943
468,Angola,Urban,2013,16119.397
469,Angola,Total,2014,26941.779
470,Angola,Male,2014,13323.488
471,Angola,Female,2014,13618.285
472,Angola,Rural,2014,10033.109
473,Angola,Urban,2014,16887.357
474,Angola,Total,2015,27884.381
475,Angola,Male,2015,13791.244
476,Angola,Female,2015,14093.136
477,Angola,Rural,2015,10183.56
478,Angola,Urban,2015,17675.745
479,Angola,Total,2016,28842.489
480,Angola,Male,2016,14266.355
481,Angola,Female,2016,14576.127
482,Angola,Rural,2016,10329.86
483,Angola,Urban,2016,18483.603
484,Angola,Total,2017,29816.766
485,Angola,Male,2017,14749.319
486,Angola,Female,2017,15067.45
487,Angola,Rural,2017,10472.554
488,Angola,Urban,2017,19311.639
489,Angola,Total,2018,30809.787
490,Angola,Male,2018,15241.459
491,Angola,Female,2018,15568.328
492,Angola,Rural,2018,10612.667
493,Angola,Urban,2018,20161.538
494,Anguilla,Total,2000,11.252
495,Anguilla,Rural,2000,0.0
496,Anguilla,Urban,2000,11.07
497,Anguilla,Total,2001,11.515
498,Anguilla,Rural,2001,0.0
499,Anguilla,Urban,2001,11.372
500,Anguilla,Total,2002,11.761
501,Anguilla,Rural,2002,0.0
502,Anguilla,Urban,2002,11.692
503,Anguilla,Total,2003,12.001
504,Anguilla,Rural,2003,0.0
505,Anguilla,Urban,2003,12.021
506,Anguilla,Total,2004,12.233
507,Anguilla,Rural,2004,0.0
508,Anguilla,Urban,2004,12.339
509,Anguilla,Total,2005,12.453
510,Anguilla,Rural,2005,0.0
511,Anguilla,Urban,2005,12.638
512,Anguilla,Total,2006,12.661
513,Anguilla,Rural,2006,0.0
514,Anguilla,Urban,2006,12.903
515,Anguilla,Total,2007,12.868
516,Anguilla,Rural,2007,0.0
517,Anguilla,Urban,2007,13.15
518,Anguilla,Total,2008,13.063
519,Anguilla,Rural,2008,0.0
520,Anguilla,Urban,2008,13.36
521,Anguilla,Total,2009,13.258
522,Anguilla,Rural,2009,0.0
523,Anguilla,Urban,2009,13.565
524,Anguilla,Total,2010,13.438
525,Anguilla,Rural,2010,0.0
526,Anguilla,Urban,2010,13.769
527,Anguilla,Total,2011,13.62
528,Anguilla,Rural,2011,0.0
529,Anguilla,Urban,2011,13.951
530,Anguilla,Total,2012,13.795
531,Anguilla,Rural,2012,0.0
532,Anguilla,Urban,2012,14.129
533,Anguilla,Total,2013,13.954
534,Anguilla,Rural,2013,0.0
535,Anguilla,Urban,2013,14.299
536,Anguilla,Total,2014,14.112
537,Anguilla,Rural,2014,0.0
538,Anguilla,Urban,2014,14.459
539,Anguilla,Total,2015,14.279
540,Anguilla,Rural,2015,0.0
541,Anguilla,Urban,2015,14.611
542,Anguilla,Total,2016,14.429
543,Anguilla,Rural,2016,0.0
544,Anguilla,Urban,2016,14.764
545,Anguilla,Total,2017,14.584
546,Anguilla,Rural,2017,0.0
547,Anguilla,Urban,2017,14.909
548,Anguilla,Total,2018,14.731
549,Anguilla,Rural,2018,0.0
550,Anguilla,Urban,2018,15.045
551,Antigua and Barbuda,Total,2000,76.016
552,Antigua and Barbuda,Male,2000,35.71
553,Antigua and Barbuda,Female,2000,40.297
554,Antigua and Barbuda,Rural,2000,56.731
555,Antigua and Barbuda,Urban,2000,26.853
556,Antigua and Barbuda,Total,2001,77.212
557,Antigua and Barbuda,Male,2001,36.288
558,Antigua and Barbuda,Female,2001,40.924
559,Antigua and Barbuda,Rural,2001,58.06
560,Antigua and Barbuda,Urban,2001,26.997
561,Antigua and Barbuda,Total,2002,78.295
562,Antigua and Barbuda,Male,2002,36.854
563,Antigua and Barbuda,Female,2002,41.444
564,Antigua and Barbuda,Rural,2002,59.439
565,Antigua and Barbuda,Urban,2002,26.827
566,Antigua and Barbuda,Total,2003,79.3
567,Antigua and Barbuda,Male,2003,37.425
568,Antigua and Barbuda,Female,2003,41.886
569,Antigua and Barbuda,Rural,2003,60.7
570,Antigua and Barbuda,Urban,2003,26.593
571,Antigua and Barbuda,Total,2004,80.336
572,Antigua and Barbuda,Male,2004,38.009
573,Antigua and Barbuda,Female,2004,42.338
574,Antigua and Barbuda,Rural,2004,61.924
575,Antigua and Barbuda,Urban,2004,26.333
576,Antigua and Barbuda,Total,2005,81.465
577,Antigua and Barbuda,Male,2005,38.63
578,Antigua and Barbuda,Female,2005,42.832
579,Antigua and Barbuda,Rural,2005,63.175
580,Antigua and Barbuda,Urban,2005,26.078
581,Antigua and Barbuda,Total,2006,82.704
582,Antigua and Barbuda,Male,2006,39.314
583,Antigua and Barbuda,Female,2006,43.401
584,Antigua and Barbuda,Rural,2006,64.469
585,Antigua and Barbuda,Urban,2006,25.832
586,Antigua and Barbuda,Total,2007,84.026
587,Antigua and Barbuda,Male,2007,40.017
588,Antigua and Barbuda,Female,2007,44.012
589,Antigua and Barbuda,Rural,2007,65.792
590,Antigua and Barbuda,Urban,2007,25.589
591,Antigua and Barbuda,Total,2008,85.397
592,Antigua and Barbuda,Male,2008,40.731
593,Antigua and Barbuda,Female,2008,44.663
594,Antigua and Barbuda,Rural,2008,67.134
595,Antigua and Barbuda,Urban,2008,25.344
596,Antigua and Barbuda,Total,2009,86.746
597,Antigua and Barbuda,Male,2009,41.444
598,Antigua and Barbuda,Female,2009,45.299
599,Antigua and Barbuda,Rural,2009,68.485
600,Antigua and Barbuda,Urban,2009,25.096
601,Antigua and Barbuda,Total,2010,88.028
602,Antigua and Barbuda,Male,2010,42.118
603,Antigua and Barbuda,Female,2010,45.912
604,Antigua and Barbuda,Rural,2010,69.824
605,Antigua and Barbuda,Urban,2010,24.837
606,Antigua and Barbuda,Total,2011,89.253
607,Antigua and Barbuda,Male,2011,42.763
608,Antigua and Barbuda,Female,2011,46.487
609,Antigua and Barbuda,Rural,2011,71.116
610,Antigua and Barbuda,Urban,2011,24.603
611,Antigua and Barbuda,Total,2012,90.409
612,Antigua and Barbuda,Male,2012,43.373
613,Antigua and Barbuda,Female,2012,47.034
614,Antigua and Barbuda,Rural,2012,72.074
615,Antigua and Barbuda,Urban,2012,24.703
616,Antigua and Barbuda,Total,2013,91.516
617,Antigua and Barbuda,Male,2013,43.951
618,Antigua and Barbuda,Female,2013,47.559
619,Antigua and Barbuda,Rural,2013,73.026
620,Antigua and Barbuda,Urban,2013,24.798
621,Antigua and Barbuda,Total,2014,92.562
622,Antigua and Barbuda,Male,2014,44.502
623,Antigua and Barbuda,Female,2014,48.06
624,Antigua and Barbuda,Rural,2014,73.984
625,Antigua and Barbuda,Urban,2014,24.891
626,Antigua and Barbuda,Total,2015,93.566
627,Antigua and Barbuda,Male,2015,45.028
628,Antigua and Barbuda,Female,2015,48.543
629,Antigua and Barbuda,Rural,2015,74.942
630,Antigua and Barbuda,Urban,2015,24.981
631,Antigua and Barbuda,Total,2016,94.527
632,Antigua and Barbuda,Male,2016,45.518
633,Antigua and Barbuda,Female,2016,49.002
634,Antigua and Barbuda,Rural,2016,75.878
635,Antigua and Barbuda,Urban,2016,25.085
636,Antigua and Barbuda,Total,2017,95.426
637,Antigua and Barbuda,Male,2017,45.986
638,Antigua and Barbuda,Female,2017,49.439
639,Antigua and Barbuda,Rural,2017,76.802
640,Antigua and Barbuda,Urban,2017,25.21
641,Antigua and Barbuda,Total,2018,96.286
642,Antigua and Barbuda,Male,2018,46.419
643,Antigua and Barbuda,Female,2018,49.863
644,Antigua and Barbuda,Rural,2018,77.7
645,Antigua and Barbuda,Urban,2018,25.35
646,Argentina,Total,2000,36870.787
647,Argentina,Male,2000,17894.725
648,Argentina,Female,2000,18976.071
649,Argentina,Rural,2000,4023.693
650,Argentina,Urban,2000,33033.759
651,Argentina,Total,2001,37275.652
652,Argentina,Male,2001,18090.636
653,Argentina,Female,2001,19185.008
654,Argentina,Rural,2001,3998.739
655,Argentina,Urban,2001,33472.77
656,Argentina,Total,2002,37681.749
657,Argentina,Male,2002,18290.786
658,Argentina,Female,2002,19390.957
659,Argentina,Rural,2002,3974.741
660,Argentina,Urban,2002,33914.629
661,Argentina,Total,2003,38087.868
662,Argentina,Male,2003,18493.545
663,Argentina,Female,2003,19594.321
664,Argentina,Rural,2003,3951.197
665,Argentina,Urban,2003,34358.182
666,Argentina,Total,2004,38491.972
667,Argentina,Male,2004,18696.321
668,Argentina,Female,2004,19795.649
669,Argentina,Rural,2004,3927.028
670,Argentina,Urban,2004,34801.668
671,Argentina,Total,2005,38892.931
672,Argentina,Male,2005,18897.365
673,Argentina,Female,2005,19995.559
674,Argentina,Rural,2005,3902.354
675,Argentina,Urban,2005,35243.134
676,Argentina,Total,2006,39289.878
677,Argentina,Male,2006,19095.976
678,Argentina,Female,2006,20193.9
679,Argentina,Rural,2006,3876.846
680,Argentina,Urban,2006,35682.044
681,Argentina,Total,2007,39684.295
682,Argentina,Male,2007,19293.169
683,Argentina,Female,2007,20391.134
684,Argentina,Rural,2007,3850.764
685,Argentina,Urban,2007,36119.46
686,Argentina,Total,2008,40080.16
687,Argentina,Male,2008,19490.949
688,Argentina,Female,2008,20589.21
689,Argentina,Rural,2008,3824.321
690,Argentina,Urban,2008,36558.068
691,Argentina,Total,2009,40482.788
692,Argentina,Male,2009,19692.182
693,Argentina,Female,2009,20790.604
694,Argentina,Rural,2009,3798.178
695,Argentina,Urban,2009,37001.229
696,Argentina,Total,2010,40895.752
697,Argentina,Male,2010,19898.751
698,Argentina,Female,2010,20997.0
699,Argentina,Rural,2010,3772.3
700,Argentina,Urban,2010,37451.589
701,Argentina,Total,2011,41320.5
702,Argentina,Male,2011,20111.326
703,Argentina,Female,2011,21209.171
704,Argentina,Rural,2011,3753.49
705,Argentina,Urban,2011,37903.389
706,Argentina,Total,2012,41755.196
707,Argentina,Male,2012,20328.844
708,Argentina,Female,2012,21426.344
709,Argentina,Rural,2012,3737.979
710,Argentina,Urban,2012,38358.76
711,Argentina,Total,2013,42196.03
712,Argentina,Male,2013,20549.388
713,Argentina,Female,2013,21646.646
714,Argentina,Rural,2013,3722.489
715,Argentina,Urban,2013,38817.436
716,Argentina,Total,2014,42637.511
717,Argentina,Male,2014,20770.186
718,Argentina,Female,2014,21867.322
719,Argentina,Rural,2014,3706.372
720,Argentina,Urban,2014,39275.143
721,Argentina,Total,2015,43075.416
722,Argentina,Male,2015,20989.15
723,Argentina,Female,2015,22086.266
724,Argentina,Rural,2015,3689.407
725,Argentina,Urban,2015,39728.358
726,Argentina,Total,2016,43508.46
727,Argentina,Male,2016,21205.599
728,Argentina,Female,2016,22302.86
729,Argentina,Rural,2016,3671.449
730,Argentina,Urban,2016,40175.981
731,Argentina,Total,2017,43937.14
732,Argentina,Male,2017,21419.801
733,Argentina,Female,2017,22517.342
